model,strategy,task_id,rep,n_calls,prompt_tokens,completion_tokens,total_tokens,duration_s,eval_duration_s,parsed,collected,passed,failed,errors,line_coverage,branch_coverage,no_module_import,error
llama3.2:latest,chain_of_thought,HumanEval/106,0,1,279,431,710,7.972,7.816,True,7,6,1,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/106,1,1,279,313,592,5.705,5.661,True,8,3,5,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/107,0,1,372,325,697,6.077,5.901,True,7,3,4,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/107,1,1,372,511,883,9.374,9.337,True,1,0,1,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/110,0,1,352,401,753,7.49,7.286,True,6,5,1,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/110,1,1,352,361,713,6.61,6.551,True,5,2,3,0,90.9090909090909,90.0,False,
llama3.2:latest,chain_of_thought,HumanEval/124,0,1,420,501,921,9.331,9.149,True,6,4,2,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/124,1,1,420,371,791,6.793,6.719,True,11,9,2,0,91.66666666666667,87.5,False,
llama3.2:latest,chain_of_thought,HumanEval/143,0,1,306,329,635,6.106,5.938,True,6,2,4,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/143,1,1,306,272,578,4.937,4.899,True,7,1,6,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/146,0,1,276,297,573,5.5,5.334,True,8,5,3,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/146,1,1,276,510,786,9.269,9.228,True,0,0,0,0,,,False,"_specialFilter()
test_generated.py:17: in test_specialFilter
    assert specialFilter([15, -73, 14, -15]) == 2
E   assert 1 == 2
E    +  where 1 = specialFilter([15, -73, 14, -15])
=========================== short test summary info ============================
ERROR test_generated.py - assert 1 == 2
!!!!!!!!!!!!!!!!!!!! Interrupted: 1 error during collection !!!!!!!!!!!!!!!!!!!!
1 error in 0.10s
"
llama3.2:latest,chain_of_thought,HumanEval/148,0,1,366,344,710,6.409,6.21,True,6,6,0,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/148,1,1,366,386,752,7.005,6.971,True,7,7,0,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/154,0,1,289,307,596,5.674,5.518,True,9,7,2,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/154,1,1,289,397,686,7.194,7.153,True,3,1,2,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/1,0,1,277,400,677,7.704,7.487,True,10,5,5,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/1,1,1,277,349,626,6.441,6.304,True,7,4,3,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/24,0,1,212,322,534,6.672,6.449,True,7,2,5,0,87.5,75.0,False,
llama3.2:latest,chain_of_thought,HumanEval/24,1,1,212,266,478,4.904,4.768,True,7,3,4,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/31,0,1,256,244,500,5.163,5.005,True,8,8,0,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/31,1,1,256,334,590,6.139,6.002,True,5,3,2,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/32,0,1,416,440,856,8.117,7.971,True,6,2,4,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/32,1,1,416,665,1081,12.151,12.103,True,8,0,8,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/35,0,1,239,393,632,7.23,7.073,True,8,7,1,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/35,1,1,239,296,535,5.345,5.307,True,5,3,2,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/39,0,1,256,369,625,6.776,6.635,True,0,0,0,0,,,False,timeout
llama3.2:latest,chain_of_thought,HumanEval/39,1,1,256,307,563,5.59,5.511,True,0,0,0,0,,,False,timeout
llama3.2:latest,chain_of_thought,HumanEval/55,0,1,207,306,513,5.645,5.479,True,0,0,0,0,,,False,timeout
llama3.2:latest,chain_of_thought,HumanEval/55,1,1,207,276,483,5.005,4.94,True,4,2,2,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/59,0,1,223,276,499,5.091,4.942,True,6,3,3,0,91.30434782608695,90.0,False,
llama3.2:latest,chain_of_thought,HumanEval/59,1,1,223,323,546,5.834,5.792,True,6,5,1,0,91.30434782608695,90.0,False,
llama3.2:latest,chain_of_thought,HumanEval/64,0,1,285,498,783,9.157,9.011,True,7,3,4,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/64,1,1,285,428,713,7.765,7.719,True,7,4,3,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/67,0,1,367,528,895,9.739,9.573,True,7,3,4,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/67,1,1,367,366,733,6.677,6.608,True,4,1,3,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/68,0,1,468,450,918,8.368,8.178,True,8,6,2,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/68,1,1,468,438,906,7.986,7.951,True,8,7,1,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/73,0,1,315,570,885,10.522,10.324,True,8,5,3,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/73,1,1,315,449,764,8.182,8.123,True,8,5,3,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/74,0,1,350,383,733,7.109,6.921,True,8,6,2,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/74,1,1,350,427,777,7.766,7.715,True,10,10,0,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/80,0,1,280,412,692,7.583,7.424,True,6,4,2,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/80,1,1,280,287,567,5.211,5.153,True,7,6,1,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/92,0,1,292,507,799,9.301,9.162,True,5,3,2,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/92,1,1,292,519,811,9.436,9.378,True,5,1,4,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/94,0,1,449,516,965,9.537,9.38,True,8,6,2,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/94,1,1,449,630,1079,11.545,11.509,True,6,3,3,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/96,0,1,304,1385,1689,25.739,25.547,True,21,2,19,0,100.0,100.0,False,
llama3.2:latest,chain_of_thought,HumanEval/96,1,1,304,306,610,5.666,5.544,True,8,6,2,0,100.0,100.0,False,
llama3.2:latest,least_to_most,HumanEval/1,0,2,187,214,401,17.262,4.016,False,0,0,0,0,,,False,"SyntaxError: invalid syntax (test_generated.py, line 1)"
llama3.2:latest,least_to_most,HumanEval/1,1,2,663,723,1386,13.885,13.073,True,15,3,12,0,100.0,100.0,False,
llama3.2:latest,least_to_most,HumanEval/24,0,2,589,636,1225,12.28,11.445,True,10,0,10,0,87.5,75.0,False,
llama3.2:latest,least_to_most,HumanEval/24,1,2,582,661,1243,12.725,11.906,True,10,2,8,0,87.5,75.0,False,
llama3.2:latest,least_to_most,HumanEval/31,0,2,686,629,1315,12.194,11.329,True,13,12,1,0,100.0,100.0,False,
llama3.2:latest,least_to_most,HumanEval/31,1,2,589,496,1085,9.642,8.938,True,12,9,3,0,100.0,100.0,False,
llama3.2:latest,least_to_most,HumanEval/32,0,2,912,1161,2073,22.27,21.272,True,0,0,0,0,,,False,timeout
llama3.2:latest,zero_shot,HumanEval/106,0,1,234,201,435,3.963,3.621,True,6,1,5,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/106,1,1,234,170,404,3.084,3.054,True,4,1,3,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/107,0,1,327,157,484,3.349,2.85,True,6,3,3,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/107,1,1,327,226,553,4.118,4.086,True,4,0,4,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/110,0,1,307,199,506,4.044,3.595,True,6,5,1,0,100.0,100.0,False,
llama3.2:latest,zero_shot,HumanEval/110,1,1,307,293,600,5.339,5.305,True,5,2,3,0,100.0,100.0,False,
